序号,公司,Ticker,指数归属,GICS行业,GICS子行业,ICB行业,ICB子行业,CIK,研究目录,状态
433,Freeport-McMoRan,FCX,S&P 500,Materials,Copper,,,0000831259,Freeport_McMoRan_FCX,未开始
434,International Flavors & Fragrances,IFF,S&P 500,Materials,Specialty Chemicals,,,0000051253,International_Flavors_Fragrances_IFF,未开始
435,International Paper,IP,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,,0000051434,International_Paper_IP,未开始
436,Linde plc,LIN,"Nasdaq-100, S&P 500",Materials,Industrial Gases,Basic Materials,Major Chemicals,0001707925,Linde_plc_LIN,未开始
437,LyondellBasell,LYB,S&P 500,Materials,Specialty Chemicals,,,0001489393,LyondellBasell_LYB,未开始
438,Martin Marietta Materials,MLM,S&P 500,Materials,Construction Materials,,,0000916076,Martin_Marietta_Materials_MLM,未开始
439,Mosaic Company (The),MOS,S&P 500,Materials,Fertilizers & Agricultural Chemicals,,,0001285785,Mosaic_Company_The_MOS,未开始
440,Newmont,NEM,S&P 500,Materials,Gold,,,0001164727,Newmont_NEM,未开始
441,Nucor,NUE,S&P 500,Materials,Steel,,,0000073309,Nucor_NUE,未开始
442,PPG Industries,PPG,S&P 500,Materials,Specialty Chemicals,,,0000079879,PPG_Industries_PPG,未开始
443,Packaging Corporation of America,PKG,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,,0000075677,Packaging_Corporation_of_America_PKG,未开始
444,Sherwin-Williams,SHW,S&P 500,Materials,Specialty Chemicals,,,0000089800,Sherwin_Williams_SHW,未开始
445,Smurfit Westrock,SW,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,,0002005951,Smurfit_Westrock_SW,未开始
446,Steel Dynamics,STLD,S&P 500,Materials,Steel,,,0001022671,Steel_Dynamics_STLD,未开始
447,Vulcan Materials Company,VMC,S&P 500,Materials,Construction Materials,,,0001396009,Vulcan_Materials_Company_VMC,未开始
448,Alexandria Real Estate Equities,ARE,S&P 500,Real Estate,Office REITs,,,0001035443,Alexandria_Real_Estate_Equities_ARE,未开始
449,American Tower,AMT,S&P 500,Real Estate,Telecom Tower REITs,,,0001053507,American_Tower_AMT,未开始
450,AvalonBay Communities,AVB,S&P 500,Real Estate,Multi-Family Residential REITs,,,0000915912,AvalonBay_Communities_AVB,未开始
451,"BXP, Inc.",BXP,S&P 500,Real Estate,Office REITs,,,0001037540,BXP_Inc_BXP,未开始
452,CBRE Group,CBRE,S&P 500,Real Estate,Real Estate Services,,,0001138118,CBRE_Group_CBRE,未开始
453,Camden Property Trust,CPT,S&P 500,Real Estate,Multi-Family Residential REITs,,,0000906345,Camden_Property_Trust_CPT,未开始
454,CoStar Group,CSGP,S&P 500,Real Estate,Real Estate Services,,,0001057352,CoStar_Group_CSGP,未开始
455,Crown Castle,CCI,S&P 500,Real Estate,Telecom Tower REITs,,,0001051470,Crown_Castle_CCI,未开始
456,Digital Realty,DLR,S&P 500,Real Estate,Data Center REITs,,,0001297996,Digital_Realty_DLR,未开始
457,Equinix,EQIX,S&P 500,Real Estate,Data Center REITs,,,0001101239,Equinix_EQIX,未开始
458,Equity Residential,EQR,S&P 500,Real Estate,Multi-Family Residential REITs,,,0000906107,Equity_Residential_EQR,未开始
459,Essex Property Trust,ESS,S&P 500,Real Estate,Multi-Family Residential REITs,,,0000920522,Essex_Property_Trust_ESS,未开始
460,Extra Space Storage,EXR,S&P 500,Real Estate,Self-Storage REITs,,,0001289490,Extra_Space_Storage_EXR,未开始
461,Federal Realty Investment Trust,FRT,S&P 500,Real Estate,Retail REITs,,,0000034903,Federal_Realty_Investment_Trust_FRT,未开始
462,Healthpeak Properties,DOC,S&P 500,Real Estate,Health Care REITs,,,0000765880,Healthpeak_Properties_DOC,未开始
463,Host Hotels & Resorts,HST,S&P 500,Real Estate,Hotel & Resort REITs,,,0001070750,Host_Hotels_Resorts_HST,未开始
464,Invitation Homes,INVH,S&P 500,Real Estate,Single-Family Residential REITs,,,0001687229,Invitation_Homes_INVH,未开始
465,Iron Mountain,IRM,S&P 500,Real Estate,Other Specialized REITs,,,0001020569,Iron_Mountain_IRM,未开始
466,Kimco Realty,KIM,S&P 500,Real Estate,Retail REITs,,,0000879101,Kimco_Realty_KIM,未开始
467,Mid-America Apartment Communities,MAA,S&P 500,Real Estate,Multi-Family Residential REITs,,,0000912595,Mid_America_Apartment_Communities_MAA,未开始
468,Prologis,PLD,S&P 500,Real Estate,Industrial REITs,,,0001045609,Prologis_PLD,未开始
469,Public Storage,PSA,S&P 500,Real Estate,Self-Storage REITs,,,0001393311,Public_Storage_PSA,未开始
470,Realty Income,O,S&P 500,Real Estate,Retail REITs,,,0000726728,Realty_Income_O,未开始
471,Regency Centers,REG,S&P 500,Real Estate,Retail REITs,,,0000910606,Regency_Centers_REG,未开始
472,SBA Communications,SBAC,S&P 500,Real Estate,Telecom Tower REITs,,,0001034054,SBA_Communications_SBAC,未开始
473,Simon Property Group,SPG,S&P 500,Real Estate,Retail REITs,,,0001063761,Simon_Property_Group_SPG,未开始
474,"UDR, Inc.",UDR,S&P 500,Real Estate,Multi-Family Residential REITs,,,0000074208,UDR_Inc_UDR,未开始
475,Ventas,VTR,S&P 500,Real Estate,Health Care REITs,,,0000740260,Ventas_VTR,未开始
476,Vici Properties,VICI,S&P 500,Real Estate,Hotel & Resort REITs,,,0001705696,Vici_Properties_VICI,未开始
477,Welltower,WELL,S&P 500,Real Estate,Health Care REITs,,,0000766704,Welltower_WELL,未开始
478,Weyerhaeuser,WY,S&P 500,Real Estate,Timber REITs,,,0000106535,Weyerhaeuser_WY,未开始
479,ASML Holding,ASML,Nasdaq-100,,,Technology,Industrial Machinery,,ASML_Holding_ASML,已完成
480,Arm Holdings,ARM,Nasdaq-100,,,Technology,Semiconductors,,Arm_Holdings_ARM,未开始
481,Astera Labs,ALAB,Nasdaq-100,,,Technology,Semiconductors,,Astera_Labs_ALAB,未开始
482,CoreWeave,CRWV,Nasdaq-100,,,Technology,Computer Services,,CoreWeave_CRWV,未开始
483,MicroStrategy,MSTR,Nasdaq-100,,,Technology,Software,,MicroStrategy_MSTR,未开始
484,Nebius Group,NBIS,Nasdaq-100,,,Technology,Computer Services,,Nebius_Group_NBIS,未开始
485,PDD Holdings,PDD,Nasdaq-100,,,Technology,EDP Services,,PDD_Holdings_PDD,未开始
486,Shopify,SHOP,Nasdaq-100,,,Technology,Software,,Shopify_SHOP,未开始
487,Thomson Reuters,TRI,Nasdaq-100,,,Technology,Software,,Thomson_Reuters_TRI,未开始
488,SpaceX,SPCX,Nasdaq-100,,,Telecommunications,Telecommunications Services,,SpaceX_SPCX,未开始
489,AES Corporation,AES,S&P 500,Utilities,Independent Power Producers & Energy Traders,,,0000874761,AES_Corporation_AES,未开始
490,Alliant Energy,LNT,S&P 500,Utilities,Electric Utilities,,,0000352541,Alliant_Energy_LNT,未开始
491,Ameren,AEE,S&P 500,Utilities,Multi-Utilities,,,0001002910,Ameren_AEE,未开始
492,American Electric Power,AEP,"Nasdaq-100, S&P 500",Utilities,Electric Utilities,Utilities,Electric Utilities,0000004904,American_Electric_Power_AEP,未开始
493,American Water Works,AWK,S&P 500,Utilities,Water Utilities,,,0001410636,American_Water_Works_AWK,未开始
494,Atmos Energy,ATO,S&P 500,Utilities,Gas Utilities,,,0000731802,Atmos_Energy_ATO,未开始
495,CMS Energy,CMS,S&P 500,Utilities,Multi-Utilities,,,0000811156,CMS_Energy_CMS,未开始
496,CenterPoint Energy,CNP,S&P 500,Utilities,Multi-Utilities,,,0001130310,CenterPoint_Energy_CNP,未开始
497,Consolidated Edison,ED,S&P 500,Utilities,Multi-Utilities,,,0001047862,Consolidated_Edison_ED,未开始
498,Constellation Energy,CEG,"Nasdaq-100, S&P 500",Utilities,Electric Utilities,Utilities,Electric Utilities,0001868275,Constellation_Energy_CEG,未开始
499,DTE Energy,DTE,S&P 500,Utilities,Multi-Utilities,,,0000936340,DTE_Energy_DTE,未开始
500,Dominion Energy,D,S&P 500,Utilities,Multi-Utilities,,,0000715957,Dominion_Energy_D,未开始
501,Duke Energy,DUK,S&P 500,Utilities,Electric Utilities,,,0001326160,Duke_Energy_DUK,未开始
502,Edison International,EIX,S&P 500,Utilities,Electric Utilities,,,0000827052,Edison_International_EIX,未开始
503,Entergy,ETR,S&P 500,Utilities,Electric Utilities,,,0000065984,Entergy_ETR,未开始
504,Evergy,EVRG,S&P 500,Utilities,Electric Utilities,,,0001711269,Evergy_EVRG,未开始
505,Eversource Energy,ES,S&P 500,Utilities,Electric Utilities,,,0000072741,Eversource_Energy_ES,未开始
506,Exelon,EXC,"Nasdaq-100, S&P 500",Utilities,Electric Utilities,Utilities,Power Generation,0001109357,Exelon_EXC,未开始
507,FirstEnergy,FE,S&P 500,Utilities,Electric Utilities,,,0001031296,FirstEnergy_FE,未开始
508,NRG Energy,NRG,S&P 500,Utilities,Independent Power Producers & Energy Traders,,,0001013871,NRG_Energy_NRG,未开始
509,NextEra Energy,NEE,S&P 500,Utilities,Multi-Utilities,,,0000753308,NextEra_Energy_NEE,未开始
510,NiSource,NI,S&P 500,Utilities,Multi-Utilities,,,0001111711,NiSource_NI,未开始
511,PG&E Corporation,PCG,S&P 500,Utilities,Multi-Utilities,,,0001004980,PG_E_Corporation_PCG,未开始
512,PPL Corporation,PPL,S&P 500,Utilities,Electric Utilities,,,0000922224,PPL_Corporation_PPL,未开始
513,Pinnacle West Capital,PNW,S&P 500,Utilities,Multi-Utilities,,,0000764622,Pinnacle_West_Capital_PNW,未开始
514,Public Service Enterprise Group,PEG,S&P 500,Utilities,Electric Utilities,,,0000788784,Public_Service_Enterprise_Group_PEG,未开始
515,Sempra,SRE,S&P 500,Utilities,Multi-Utilities,,,0001032208,Sempra_SRE,未开始
516,Southern Company,SO,S&P 500,Utilities,Electric Utilities,,,0000092122,Southern_Company_SO,未开始
517,Vistra Corp.,VST,S&P 500,Utilities,Electric Utilities,,,0001692819,Vistra_Corp_VST,未开始
518,WEC Energy Group,WEC,S&P 500,Utilities,Electric Utilities,,,0000783325,WEC_Energy_Group_WEC,未开始
519,Xcel Energy,XEL,"Nasdaq-100, S&P 500",Utilities,Multi-Utilities,Utilities,Conventional Electricity,0000072903,Xcel_Energy_XEL,未开始
